UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.62047004699707
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.625715255737305
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.598058700561523
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.652894973754883
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.625
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.624523162841797
50.0,LRU, 2001,10,1000,30 ,970, 0.03,15.624046325683594
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.624523162841797
50.0,FIFO, 2001,10,1000,30 ,970, 0.03,15.600442886352539
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.650510787963867
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.625
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.625238418579102
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.59901237487793
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.650033950805664
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.062332153320312
50.0,LRU, 2001,10,1000,17 ,983, 0.017,16.054153442382812
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.973329544067383
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,8.00466537475586
50.0,LRU, 2001,10,1000,19 ,981, 0.019,0.0
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.633821487426758
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.623331069946289
50.0,LRU, 2001,10,1000,18 ,982, 0.018,17.60125160217285
50.0,LFU, 2001,10,1000,17 ,983, 0.017,20.99466323852539
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,8.585453033447266
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.547513961791992
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.677690505981445
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.625476837158203
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.603065490722656
50.0,LFU, 2001,10,1000,19 ,981, 0.019,31.25286102294922
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,18.66006851196289
50.0,LRU, 2001,10,1000,16 ,984, 0.016,28.689146041870117
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.676736831665039
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.603780746459961
50.0,LRU, 2001,10,1000,19 ,981, 0.019,31.295061111450195
50.0,LFU, 2001,10,1000,23 ,977, 0.023,39.034128189086914
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,16.045808792114258
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.657186508178711
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.625
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.61737060546875
50.0,LRU, 2001,10,1000,25 ,975, 0.025,15.6402587890625
50.0,LFU, 2001,10,1000,24 ,976, 0.024,24.02472496032715
50.0,FIFO, 2001,10,1000,25 ,975, 0.025,13.119697570800781
50.0,LRU, 2001,10,1000,22 ,978, 0.022,16.050100326538086
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.999317169189453
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,8.4075927734375
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.655755996704102
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.626907348632812
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.623807907104492
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.624523162841797
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.592813491821289
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,17.774343490600586
50.0,LRU, 2001,10,1000,22 ,978, 0.022,14.172554016113281
50.0,LFU, 2001,10,1000,22 ,978, 0.022,16.50261878967285
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.024900436401367
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.650510787963867
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.628576278686523
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.624761581420898
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.628814697265625
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.625
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.61737060546875
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.66004753112793
50.0,LFU, 2001,10,1000,23 ,977, 0.023,15.595436096191406
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.624284744262695
50.0,LRU, 2001,10,1000,7 ,993, 0.007,15.638113021850586
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.635013580322266
50.0,FIFO, 2001,10,1000,7 ,993, 0.007,15.609502792358398
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.617609024047852
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.62809944152832
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.611410140991211
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.634775161743164
50.0,LFU, 2001,10,1000,26 ,974, 0.026,15.648841857910156
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.625
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.599966049194336
50.0,LFU, 2001,10,1000,19 ,981, 0.019,23.19955825805664
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,14.711141586303711
50.0,LRU, 2001,10,1000,15 ,985, 0.015,8.052825927734375
50.0,LFU, 2001,10,1000,20 ,980, 0.02,7.992267608642578
50.0,FIFO, 2001,10,1000,15 ,985, 0.015,8.16035270690918
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.628337860107422
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.649795532226562
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.624761581420898
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.625953674316406
50.0,LFU, 2001,10,1000,14 ,986, 0.014,15.624046325683594
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.625
50.0,LRU, 2001,10,1000,27 ,973, 0.027,23.696184158325195
50.0,LFU, 2001,10,1000,23 ,977, 0.023,15.391111373901367
50.0,FIFO, 2001,10,1000,27 ,973, 0.027,8.537769317626953
50.0,LRU, 2001,10,1000,25 ,975, 0.025,15.677690505981445
50.0,LFU, 2001,10,1000,23 ,977, 0.023,15.625
50.0,FIFO, 2001,10,1000,25 ,975, 0.025,15.626192092895508
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.599489212036133
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.649080276489258
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,15.624761581420898
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.609264373779297
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.624523162841797
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,31.26811981201172
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.616655349731445
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.66457748413086
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,31.19039535522461
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.652179718017578
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.624046325683594
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.60831069946289
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.611648559570312
50.0,LFU, 2001,10,1000,15 ,985, 0.015,16.493558883666992
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,10.069847106933594
50.0,LRU, 2001,10,1000,18 ,982, 0.018,16.051769256591797
50.0,LFU, 2001,10,1000,27 ,973, 0.027,15.98501205444336
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,8.194923400878906
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.65694808959961
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.624761581420898
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.62356948852539
50.0,LRU, 2001,10,1000,24 ,976, 0.024,15.625476837158203
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.625238418579102
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,15.624523162841797
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.625953674316406
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.624284744262695
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.625
50.0,LRU, 2001,10,1000,28 ,972, 0.028,17.688274383544922
50.0,LFU, 2001,10,1000,27 ,973, 0.027,12.584686279296875
50.0,FIFO, 2001,10,1000,28 ,972, 0.028,8.38160514831543
50.0,LRU, 2001,10,1000,25 ,975, 0.025,15.656471252441406
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.597820281982422
50.0,FIFO, 2001,10,1000,25 ,975, 0.025,15.65241813659668
50.0,LRU, 2001,10,1000,15 ,985, 0.015,15.624284744262695
50.0,LFU, 2001,10,1000,24 ,976, 0.024,15.625715255737305
50.0,FIFO, 2001,10,1000,15 ,985, 0.015,15.605926513671875
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.645265579223633
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.591621398925781
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.6402587890625
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.61117172241211
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.657186508178711
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.602588653564453
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.646934509277344
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.624284744262695
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.625476837158203
50.0,LRU, 2001,10,1000,15 ,985, 0.015,15.624046325683594
50.0,LFU, 2001,10,1000,18 ,982, 0.018,23.16761016845703
50.0,FIFO, 2001,10,1000,15 ,985, 0.015,13.866186141967773
50.0,LRU, 2001,10,1000,30 ,970, 0.03,16.692638397216797
50.0,LFU, 2001,10,1000,27 ,973, 0.027,19.71602439880371
50.0,FIFO, 2001,10,1000,30 ,970, 0.03,6.53529167175293
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.677690505981445
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.625715255737305
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,15.609264373779297
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.604972839355469
50.0,LFU, 2001,10,1000,14 ,986, 0.014,15.628576278686523
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,15.625476837158203
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.636205673217773
50.0,LFU, 2001,10,1000,19 ,981, 0.019,15.625238418579102
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.623331069946289
50.0,LRU, 2001,10,1000,12 ,988, 0.012,20.188570022583008
50.0,LFU, 2001,10,1000,12 ,988, 0.012,16.835689544677734
50.0,FIFO, 2001,10,1000,12 ,988, 0.012,10.547399520874023
50.0,LRU, 2001,10,1000,16 ,984, 0.016,15.676736831665039
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.624761581420898
50.0,FIFO, 2001,10,1000,16 ,984, 0.016,15.625238418579102
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.626668930053711
50.0,LFU, 2001,10,1000,18 ,982, 0.018,15.600919723510742
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.623092651367188
50.0,LRU, 2001,10,1000,24 ,976, 0.024,15.623331069946289
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.667915344238281
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,31.208276748657227
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.629053115844727
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.624284744262695
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.631914138793945
50.0,LRU, 2001,10,1000,23 ,977, 0.023,15.618562698364258
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.646934509277344
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,24.545669555664062
50.0,LRU, 2001,10,1000,17 ,983, 0.017,21.6367244720459
50.0,LFU, 2001,10,1000,13 ,987, 0.013,16.0064697265625
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,16.13926887512207
50.0,LRU, 2001,10,1000,22 ,978, 0.022,15.658140182495117
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.625238418579102
50.0,FIFO, 2001,10,1000,22 ,978, 0.022,15.626907348632812
50.0,LRU, 2001,10,1000,20 ,980, 0.02,15.623092651367188
50.0,LFU, 2001,10,1000,20 ,980, 0.02,15.61737060546875
50.0,FIFO, 2001,10,1000,20 ,980, 0.02,15.616655349731445
50.0,LRU, 2001,10,1000,24 ,976, 0.024,15.637636184692383
50.0,LFU, 2001,10,1000,17 ,983, 0.017,15.630006790161133
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,15.604496002197266
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.643835067749023
50.0,LFU, 2001,10,1000,15 ,985, 0.015,15.625
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,16.48259162902832
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.689849853515625
50.0,LFU, 2001,10,1000,19 ,981, 0.019,8.34965705871582
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.639781951904297
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.625715255737305
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.618562698364258
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,0.0
50.0,LRU, 2001,10,1000,28 ,972, 0.028,31.23021125793457
50.0,LFU, 2001,10,1000,28 ,972, 0.028,15.643596649169922
50.0,FIFO, 2001,10,1000,28 ,972, 0.028,15.624761581420898
50.0,LRU, 2001,10,1000,29 ,971, 0.029,15.606164932250977
50.0,LFU, 2001,10,1000,22 ,978, 0.022,15.624761581420898
50.0,FIFO, 2001,10,1000,29 ,971, 0.029,15.636920928955078
50.0,LRU, 2001,10,1000,17 ,983, 0.017,15.635490417480469
50.0,LFU, 2001,10,1000,26 ,974, 0.026,16.72506332397461
50.0,FIFO, 2001,10,1000,17 ,983, 0.017,14.946937561035156
50.0,LRU, 2001,10,1000,23 ,977, 0.023,12.86458969116211
50.0,LFU, 2001,10,1000,21 ,979, 0.021,15.998601913452148
50.0,FIFO, 2001,10,1000,23 ,977, 0.023,8.026838302612305
50.0,LRU, 2001,10,1000,24 ,976, 0.024,8.15129280090332
50.0,LFU, 2001,10,1000,24 ,976, 0.024,15.658378601074219
50.0,FIFO, 2001,10,1000,24 ,976, 0.024,15.609502792358398
50.0,LRU, 2001,10,1000,21 ,979, 0.021,15.639781951904297
50.0,LFU, 2001,10,1000,25 ,975, 0.025,15.623807907104492
50.0,FIFO, 2001,10,1000,21 ,979, 0.021,15.624523162841797
50.0,LRU, 2001,10,1000,19 ,981, 0.019,15.625953674316406
50.0,LFU, 2001,10,1000,24 ,976, 0.024,15.59138298034668
50.0,FIFO, 2001,10,1000,19 ,981, 0.019,15.659332275390625
50.0,LRU, 2001,10,1000,18 ,982, 0.018,15.600204467773438
50.0,LFU, 2001,10,1000,16 ,984, 0.016,15.648365020751953
50.0,FIFO, 2001,10,1000,18 ,982, 0.018,15.625238418579102
