UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,19.150733947753906
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,15.653133392333984
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LRU, 2001,100,1000,900 ,100, 0.9,15.649795532226562
10.0,LFU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,15.694379806518555
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,15.538215637207031
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LRU, 2001,100,1000,900 ,100, 0.9,15.647172927856445
10.0,LFU, 2001,100,1000,900 ,100, 0.9,9.553670883178711
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,6.549358367919922
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,15.680551528930664
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LRU, 2001,100,1000,900 ,100, 0.9,15.625953674316406
10.0,LFU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,15.625238418579102
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,15.604496002197266
10.0,LRU, 2001,100,1000,900 ,100, 0.9,0.0
10.0,LFU, 2001,100,1000,900 ,100, 0.9,15.549421310424805
10.0,FIFO, 2001,100,1000,900 ,100, 0.9,0.0
20.0,LRU, 2001,100,1000,466 ,534, 0.466,40.075063705444336
20.0,LFU, 2001,100,1000,464 ,536, 0.464,24.032115936279297
20.0,FIFO, 2001,100,1000,457 ,543, 0.457,16.19577407836914
20.0,LRU, 2001,100,1000,480 ,520, 0.48,15.595197677612305
20.0,LFU, 2001,100,1000,492 ,508, 0.492,31.30316734313965
20.0,FIFO, 2001,100,1000,479 ,521, 0.479,15.62643051147461
20.0,LRU, 2001,100,1000,461 ,539, 0.461,31.249046325683594
20.0,LFU, 2001,100,1000,465 ,535, 0.465,18.18084716796875
20.0,FIFO, 2001,100,1000,460 ,540, 0.46,29.228925704956055
20.0,LRU, 2001,100,1000,462 ,538, 0.462,31.229019165039062
20.0,LFU, 2001,100,1000,486 ,514, 0.486,15.614509582519531
20.0,FIFO, 2001,100,1000,469 ,531, 0.469,31.68344497680664
20.0,LRU, 2001,100,1000,456 ,544, 0.456,15.680551528930664
20.0,LFU, 2001,100,1000,467 ,533, 0.467,31.2502384185791
20.0,FIFO, 2001,100,1000,456 ,544, 0.456,31.25596046447754
20.0,LRU, 2001,100,1000,479 ,521, 0.479,31.714916229248047
20.0,LFU, 2001,100,1000,461 ,539, 0.461,46.89192771911621
20.0,FIFO, 2001,100,1000,472 ,528, 0.472,15.625
20.0,LRU, 2001,100,1000,466 ,534, 0.466,31.724214553833008
20.0,LFU, 2001,100,1000,476 ,524, 0.476,15.651464462280273
20.0,FIFO, 2001,100,1000,463 ,537, 0.463,23.890972137451172
20.0,LRU, 2001,100,1000,463 ,537, 0.463,16.27373695373535
20.0,LFU, 2001,100,1000,471 ,529, 0.471,32.0587158203125
20.0,FIFO, 2001,100,1000,469 ,531, 0.469,8.169889450073242
20.0,LRU, 2001,100,1000,437 ,563, 0.437,31.253814697265625
20.0,LFU, 2001,100,1000,480 ,520, 0.48,15.626907348632812
20.0,FIFO, 2001,100,1000,428 ,572, 0.428,31.24713897705078
30.0,LRU, 2001,100,1000,307 ,693, 0.307,16.049861907958984
30.0,LFU, 2001,100,1000,304 ,696, 0.304,31.236648559570312
30.0,FIFO, 2001,100,1000,304 ,696, 0.304,15.634775161743164
30.0,LRU, 2001,100,1000,276 ,724, 0.276,31.681537628173828
30.0,LFU, 2001,100,1000,302 ,698, 0.302,31.267166137695312
30.0,FIFO, 2001,100,1000,279 ,721, 0.279,31.258583068847656
30.0,LRU, 2001,100,1000,293 ,707, 0.293,19.1500186920166
30.0,LFU, 2001,100,1000,311 ,689, 0.311,106.7667007446289
30.0,FIFO, 2001,100,1000,293 ,707, 0.293,46.909332275390625
30.0,LRU, 2001,100,1000,317 ,683, 0.317,46.6609001159668
30.0,LFU, 2001,100,1000,311 ,689, 0.311,32.0582389831543
30.0,FIFO, 2001,100,1000,318 ,682, 0.318,23.824453353881836
30.0,LRU, 2001,100,1000,302 ,698, 0.302,15.625715255737305
30.0,LFU, 2001,100,1000,308 ,692, 0.308,31.717538833618164
30.0,FIFO, 2001,100,1000,302 ,698, 0.302,31.301259994506836
30.0,LRU, 2001,100,1000,308 ,692, 0.308,31.25
30.0,LFU, 2001,100,1000,283 ,717, 0.283,33.278703689575195
30.0,FIFO, 2001,100,1000,307 ,693, 0.307,14.034748077392578
30.0,LRU, 2001,100,1000,324 ,676, 0.324,31.27574920654297
30.0,LFU, 2001,100,1000,330 ,670, 0.33,31.30960464477539
30.0,FIFO, 2001,100,1000,326 ,674, 0.326,23.604869842529297
30.0,LRU, 2001,100,1000,295 ,705, 0.295,15.65408706665039
30.0,LFU, 2001,100,1000,314 ,686, 0.314,31.25309944152832
30.0,FIFO, 2001,100,1000,294 ,706, 0.294,31.24260902404785
30.0,LRU, 2001,100,1000,327 ,673, 0.327,31.717777252197266
30.0,LFU, 2001,100,1000,330 ,670, 0.33,31.25905990600586
30.0,FIFO, 2001,100,1000,321 ,679, 0.321,15.615463256835938
40.0,LRU, 2001,100,1000,258 ,742, 0.258,26.317119598388672
40.0,LFU, 2001,100,1000,245 ,755, 0.245,32.137393951416016
40.0,FIFO, 2001,100,1000,260 ,740, 0.26,24.00040626525879
40.0,LRU, 2001,100,1000,258 ,742, 0.258,29.947280883789062
40.0,LFU, 2001,100,1000,238 ,762, 0.238,25.715112686157227
