UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
10.0,LRU, 2001,10,1000,105 ,895, 0.105,15.625238418579102
10.0,LFU, 2001,10,1000,104 ,896, 0.104,19.62423324584961
10.0,FIFO, 2001,10,1000,105 ,895, 0.105,15.786409378051758
10.0,LRU, 2001,10,1000,100 ,900, 0.1,13.78488540649414
10.0,LFU, 2001,10,1000,89 ,911, 0.089,12.047529220581055
10.0,FIFO, 2001,10,1000,100 ,900, 0.1,15.658378601074219
10.0,LRU, 2001,10,1000,104 ,896, 0.104,15.644550323486328
10.0,LFU, 2001,10,1000,113 ,887, 0.113,15.624761581420898
10.0,FIFO, 2001,10,1000,104 ,896, 0.104,15.624284744262695
10.0,LRU, 2001,10,1000,96 ,904, 0.096,0.0
10.0,LFU, 2001,10,1000,105 ,895, 0.105,10.046958923339844
10.0,FIFO, 2001,10,1000,96 ,904, 0.096,6.024837493896484
10.0,LRU, 2001,10,1000,93 ,907, 0.093,15.65861701965332
10.0,LFU, 2001,10,1000,104 ,896, 0.104,15.640974044799805
10.0,FIFO, 2001,10,1000,93 ,907, 0.093,15.626668930053711
10.0,LRU, 2001,10,1000,100 ,900, 0.1,15.62356948852539
10.0,LFU, 2001,10,1000,104 ,896, 0.104,15.62643051147461
10.0,FIFO, 2001,10,1000,100 ,900, 0.1,16.048669815063477
10.0,LRU, 2001,10,1000,94 ,906, 0.094,15.676736831665039
10.0,LFU, 2001,10,1000,110 ,890, 0.11,15.625
10.0,FIFO, 2001,10,1000,94 ,906, 0.094,15.607833862304688
10.0,LRU, 2001,10,1000,108 ,892, 0.108,15.642642974853516
10.0,LFU, 2001,10,1000,83 ,917, 0.083,0.0
10.0,FIFO, 2001,10,1000,108 ,892, 0.108,0.0
10.0,LRU, 2001,10,1000,111 ,889, 0.111,22.179603576660156
10.0,LFU, 2001,10,1000,94 ,906, 0.094,9.528398513793945
10.0,FIFO, 2001,10,1000,111 ,889, 0.111,15.678882598876953
10.0,LRU, 2001,10,1000,105 ,895, 0.105,15.623807907104492
10.0,LFU, 2001,10,1000,100 ,900, 0.1,15.6097412109375
10.0,FIFO, 2001,10,1000,105 ,895, 0.105,15.616416931152344
10.0,LRU, 2001,10,1000,109 ,891, 0.109,15.651941299438477
10.0,LFU, 2001,10,1000,115 ,885, 0.115,16.0977840423584
10.0,FIFO, 2001,10,1000,109 ,891, 0.109,15.676021575927734
10.0,LRU, 2001,10,1000,103 ,897, 0.103,15.624523162841797
10.0,LFU, 2001,10,1000,107 ,893, 0.107,15.637874603271484
10.0,FIFO, 2001,10,1000,103 ,897, 0.103,0.0
10.0,LRU, 2001,10,1000,89 ,911, 0.089,15.589475631713867
10.0,LFU, 2001,10,1000,91 ,909, 0.091,15.615463256835938
10.0,FIFO, 2001,10,1000,89 ,911, 0.089,18.230438232421875
10.0,LRU, 2001,10,1000,100 ,900, 0.1,24.721384048461914
10.0,LFU, 2001,10,1000,109 ,891, 0.109,18.93329620361328
10.0,FIFO, 2001,10,1000,101 ,899, 0.101,15.654802322387695
10.0,LRU, 2001,10,1000,117 ,883, 0.117,15.619993209838867
10.0,LFU, 2001,10,1000,118 ,882, 0.118,24.18684959411621
10.0,FIFO, 2001,10,1000,117 ,883, 0.117,7.517099380493164
10.0,LRU, 2001,10,1000,94 ,906, 0.094,15.624284744262695
10.0,LFU, 2001,10,1000,118 ,882, 0.118,15.624761581420898
10.0,FIFO, 2001,10,1000,94 ,906, 0.094,15.651702880859375
10.0,LRU, 2001,10,1000,104 ,896, 0.104,0.0
10.0,LFU, 2001,10,1000,109 ,891, 0.109,14.54782485961914
10.0,FIFO, 2001,10,1000,104 ,896, 0.104,1.5251636505126953
10.0,LRU, 2001,10,1000,101 ,899, 0.101,15.628337860107422
10.0,LFU, 2001,10,1000,99 ,901, 0.099,31.245708465576172
10.0,FIFO, 2001,10,1000,101 ,899, 0.101,15.622615814208984
10.0,LRU, 2001,10,1000,111 ,889, 0.111,20.64228057861328
10.0,LFU, 2001,10,1000,94 ,906, 0.094,11.015653610229492
10.0,FIFO, 2001,10,1000,111 ,889, 0.111,15.641927719116211
10.0,LRU, 2001,10,1000,100 ,900, 0.1,15.635013580322266
10.0,LFU, 2001,10,1000,95 ,905, 0.095,15.650033950805664
10.0,FIFO, 2001,10,1000,100 ,900, 0.1,15.600442886352539
