UNIQUE_READS_PERCENT, POLICY, READ_WRITES, CACHE_SIZE, RAM_SIZE, HIT, MISS, RATIO,TIME ns
10.0,LRU, 2001,10,1000,116 ,884, 0.116,11.995077133178711
10.0,LFU, 2001,10,1000,117 ,883, 0.117,12.113332748413086
10.0,FIFO, 2001,10,1000,115 ,885, 0.115,15.285253524780273
10.0,LRU, 2001,10,1000,88 ,912, 0.088,12.731313705444336
10.0,LFU, 2001,10,1000,101 ,899, 0.101,17.832040786743164
10.0,FIFO, 2001,10,1000,92 ,908, 0.092,19.000768661499023
10.0,LRU, 2001,10,1000,94 ,906, 0.094,16.118764877319336
10.0,LFU, 2001,10,1000,89 ,911, 0.089,19.479751586914062
10.0,FIFO, 2001,10,1000,98 ,902, 0.098,14.352083206176758
10.0,LRU, 2001,10,1000,94 ,906, 0.094,16.73150062561035
10.0,LFU, 2001,10,1000,86 ,914, 0.086,13.959646224975586
10.0,FIFO, 2001,10,1000,97 ,903, 0.097,11.362314224243164
10.0,LRU, 2001,10,1000,94 ,906, 0.094,12.950420379638672
10.0,LFU, 2001,10,1000,109 ,891, 0.109,14.025688171386719
10.0,FIFO, 2001,10,1000,99 ,901, 0.099,12.119293212890625
10.0,LRU, 2001,10,1000,91 ,909, 0.091,12.575626373291016
10.0,LFU, 2001,10,1000,99 ,901, 0.099,13.944149017333984
10.0,FIFO, 2001,10,1000,93 ,907, 0.093,11.84225082397461
10.0,LRU, 2001,10,1000,123 ,877, 0.123,11.967897415161133
10.0,LFU, 2001,10,1000,112 ,888, 0.112,14.789104461669922
10.0,FIFO, 2001,10,1000,121 ,879, 0.121,13.715982437133789
10.0,LRU, 2001,10,1000,85 ,915, 0.085,13.177871704101562
10.0,LFU, 2001,10,1000,92 ,908, 0.092,14.405250549316406
10.0,FIFO, 2001,10,1000,89 ,911, 0.089,11.139392852783203
10.0,LRU, 2001,10,1000,113 ,887, 0.113,14.907598495483398
10.0,LFU, 2001,10,1000,102 ,898, 0.102,22.2015380859375
10.0,FIFO, 2001,10,1000,115 ,885, 0.115,17.374515533447266
10.0,LRU, 2001,20,1000,195 ,805, 0.195,14.63937759399414
10.0,LFU, 2001,20,1000,190 ,810, 0.19,16.572237014770508
10.0,FIFO, 2001,20,1000,197 ,803, 0.197,13.807058334350586
10.0,LRU, 2001,20,1000,226 ,774, 0.226,15.675067901611328
10.0,LFU, 2001,20,1000,225 ,775, 0.225,15.455961227416992
10.0,FIFO, 2001,20,1000,216 ,784, 0.216,16.709566116333008
10.0,LRU, 2001,20,1000,187 ,813, 0.187,15.364646911621094
10.0,LFU, 2001,20,1000,191 ,809, 0.191,15.926122665405273
10.0,FIFO, 2001,20,1000,186 ,814, 0.186,12.660503387451172
10.0,LRU, 2001,20,1000,175 ,825, 0.175,15.736103057861328
10.0,LFU, 2001,20,1000,182 ,818, 0.182,17.57216453552246
10.0,FIFO, 2001,20,1000,166 ,834, 0.166,12.897253036499023
10.0,LRU, 2001,20,1000,195 ,805, 0.195,21.969318389892578
10.0,LFU, 2001,20,1000,190 ,810, 0.19,24.363994598388672
10.0,FIFO, 2001,20,1000,191 ,809, 0.191,14.607667922973633
10.0,LRU, 2001,20,1000,210 ,790, 0.21,13.885974884033203
10.0,LFU, 2001,20,1000,181 ,819, 0.181,15.275955200195312
10.0,FIFO, 2001,20,1000,195 ,805, 0.195,13.359785079956055
10.0,LRU, 2001,20,1000,221 ,779, 0.221,14.23954963684082
10.0,LFU, 2001,20,1000,215 ,785, 0.215,13.24462890625
10.0,FIFO, 2001,20,1000,216 ,784, 0.216,13.484716415405273
10.0,LRU, 2001,20,1000,210 ,790, 0.21,12.736320495605469
10.0,LFU, 2001,20,1000,214 ,786, 0.214,16.86692237854004
10.0,FIFO, 2001,20,1000,216 ,784, 0.216,13.674736022949219
10.0,LRU, 2001,20,1000,192 ,808, 0.192,16.205787658691406
10.0,LFU, 2001,20,1000,194 ,806, 0.194,13.96799087524414
10.0,FIFO, 2001,20,1000,179 ,821, 0.179,15.67983627319336
10.0,LRU, 2001,30,1000,287 ,713, 0.287,17.276287078857422
10.0,LFU, 2001,30,1000,278 ,722, 0.278,17.444133758544922
10.0,FIFO, 2001,30,1000,277 ,723, 0.277,15.247106552124023
10.0,LRU, 2001,30,1000,295 ,705, 0.295,13.755083084106445
10.0,LFU, 2001,30,1000,305 ,695, 0.305,14.939546585083008
10.0,FIFO, 2001,30,1000,297 ,703, 0.297,13.925790786743164
10.0,LRU, 2001,30,1000,295 ,705, 0.295,15.17629623413086
10.0,LFU, 2001,30,1000,308 ,692, 0.308,16.675949096679688
10.0,FIFO, 2001,30,1000,313 ,687, 0.313,14.276504516601562
10.0,LRU, 2001,30,1000,315 ,685, 0.315,13.58652114868164
10.0,LFU, 2001,30,1000,310 ,690, 0.31,15.889883041381836
10.0,FIFO, 2001,30,1000,313 ,687, 0.313,13.361454010009766
10.0,LRU, 2001,30,1000,297 ,703, 0.297,15.416622161865234
10.0,LFU, 2001,30,1000,335 ,665, 0.335,15.672922134399414
10.0,FIFO, 2001,30,1000,293 ,707, 0.293,12.676477432250977
10.0,LRU, 2001,30,1000,304 ,696, 0.304,15.373945236206055
10.0,LFU, 2001,30,1000,303 ,697, 0.303,21.040678024291992
10.0,FIFO, 2001,30,1000,303 ,697, 0.303,20.564556121826172
10.0,LRU, 2001,30,1000,288 ,712, 0.288,19.60301399230957
10.0,LFU, 2001,30,1000,297 ,703, 0.297,22.155046463012695
10.0,FIFO, 2001,30,1000,292 ,708, 0.292,19.98138427734375
10.0,LRU, 2001,30,1000,285 ,715, 0.285,19.006729125976562
10.0,LFU, 2001,30,1000,273 ,727, 0.273,24.419307708740234
10.0,FIFO, 2001,30,1000,281 ,719, 0.281,17.292261123657227
10.0,LRU, 2001,30,1000,289 ,711, 0.289,20.55215835571289
10.0,LFU, 2001,30,1000,293 ,707, 0.293,21.203994750976562
10.0,FIFO, 2001,30,1000,294 ,706, 0.294,12.537717819213867
10.0,LRU, 2001,40,1000,393 ,607, 0.393,14.421701431274414
10.0,LFU, 2001,40,1000,406 ,594, 0.406,14.026165008544922
10.0,FIFO, 2001,40,1000,397 ,603, 0.397,14.287710189819336
10.0,LRU, 2001,40,1000,389 ,611, 0.389,15.094280242919922
10.0,LFU, 2001,40,1000,422 ,578, 0.422,16.605377197265625
10.0,FIFO, 2001,40,1000,380 ,620, 0.38,14.707088470458984
10.0,LRU, 2001,40,1000,391 ,609, 0.391,17.392396926879883
10.0,LFU, 2001,40,1000,397 ,603, 0.397,14.168262481689453
10.0,FIFO, 2001,40,1000,393 ,607, 0.393,12.898683547973633
10.0,LRU, 2001,40,1000,397 ,603, 0.397,16.560077667236328
10.0,LFU, 2001,40,1000,403 ,597, 0.403,16.890525817871094
10.0,FIFO, 2001,40,1000,398 ,602, 0.398,14.141082763671875
10.0,LRU, 2001,40,1000,379 ,621, 0.379,16.52669906616211
10.0,LFU, 2001,40,1000,386 ,614, 0.386,19.310951232910156
10.0,FIFO, 2001,40,1000,392 ,608, 0.392,12.528657913208008
10.0,LRU, 2001,40,1000,383 ,617, 0.383,14.426231384277344
10.0,LFU, 2001,40,1000,399 ,601, 0.399,13.82303237915039
10.0,FIFO, 2001,40,1000,393 ,607, 0.393,13.242483139038086
10.0,LRU, 2001,40,1000,388 ,612, 0.388,13.717889785766602
10.0,LFU, 2001,40,1000,396 ,604, 0.396,15.030860900878906
10.0,FIFO, 2001,40,1000,387 ,613, 0.387,14.77193832397461
10.0,LRU, 2001,40,1000,393 ,607, 0.393,25.632858276367188
10.0,LFU, 2001,40,1000,400 ,600, 0.4,17.29440689086914
10.0,FIFO, 2001,40,1000,400 ,600, 0.4,13.504981994628906
10.0,LRU, 2001,40,1000,400 ,600, 0.4,14.237403869628906
10.0,LFU, 2001,40,1000,414 ,586, 0.414,14.783143997192383
10.0,FIFO, 2001,40,1000,398 ,602, 0.398,12.703180313110352
10.0,LRU, 2001,50,1000,492 ,508, 0.492,14.450788497924805
10.0,LFU, 2001,50,1000,481 ,519, 0.481,15.242338180541992
10.0,FIFO, 2001,50,1000,490 ,510, 0.49,12.321710586547852
10.0,LRU, 2001,50,1000,459 ,541, 0.459,15.08951187133789
10.0,LFU, 2001,50,1000,474 ,526, 0.474,15.761137008666992
10.0,FIFO, 2001,50,1000,470 ,530, 0.47,15.487194061279297
10.0,LRU, 2001,50,1000,448 ,552, 0.448,15.996694564819336
10.0,LFU, 2001,50,1000,491 ,509, 0.491,19.92964744567871
10.0,FIFO, 2001,50,1000,457 ,543, 0.457,14.631986618041992
